label,text,retweet_count
1,"why have there been more mass shootings under obama than the previous presidents combined? possibly because obama is a race baiting fool who encourages shit like this? blameshannon his divisiveness and failures are driving us mad...all according to plan. blood's on his hands it's all the racial healing. because they know the injustice dept. will seldom if ever seek the death penalty. o has released how many terorists from gitmo that certainly is ""fundamentally transforming america"" just like potus wants. because we are precieved as weak with the pantywaist libs in office i'm sure its not by design or some mk ultra type thing.... just a coincidence. question is, how many more will there be?. it's because obama leads by example. he is completely lawless, so his peeps know that they can act lawlessly without risk and clinton's and half of w's were under the assault weapons ban, yet their's were higher than reagan's. because he is enabling terrorist more pissed off crazies because of him... blood transfusing america more like it. when they changed the definition and terrorist acts went up under bush, it was bush's fault.now not obama's fault graph those numbers and you'll have a real ""hockey stick"" in a risk of wearing a tin foil hat to bed, it does make one wonder? rise in social media? more than all previous presidents combined. obviously that is what surrendering to terrorism leads to. wow! he preaches division and racial hatred. people are seeing ""color"" again. sick of him pick one: bush's fault, nra, white privilege, cops, hurt feelings, fox news, intolerance, christianity, the gop epidemic of prescription anti-depressants and less to do with politics. interesting stat though. you forgot the koch bros. eh, maybe you ran out of . also record gun sales(which i like) he did promise change! does it include gangs shootings at each others ? because he was born on a tuesday. obama is turning usa into rd world country on purpose so we.know how it feels you rock tabitha global warmingbcuz obama is a muslim -- media u can stop hiding his dirty underwear- do ur job. elect samm tittle",209
0,"what are the symptoms of covid-19? the most common symptoms of covid-19 are: fever, tiredness, dry cough, and body temperature. some patients may have aches and pains, nasal congestion, runny nose, sore throat or diarrhea. people become infected but did not develop any symptoms and don't feel ill at the same time. older people, and those with underlying medical problems like high blood pressure, heart problems or diabetes, are more likely to develop serious illness.iamnaija fight2finish yakinkawardacovid_19 jcinigeria covid19pandemic besafe follow us on all social media for daily updates.shin menene alamomin kamuwa da cutar? mafi yawancin alamomin kamuwa da wannan cuta ta covid-19 sune, zazzabi, kasala, da busasshen tari. wasu marasa lafiyar kan samu radadi a jikin su, mura, zubar da majina, kaikayin makogaro da gudawa.wasu mutanen kan kamu da cutar amma ba wani alama jin wani ciwon jiki. tsofaffi. da kuma wadanda suke da matsala ta lafiya kamar hawan jini, ciwon zuciya, ko sukari sun fi hadarin samun wannan cuta."" ninenajeria yakinkawardacovid_19 jcinigeria annobarcovid_19who can be screened and where? basically, anyone with travel history to places where the viral disease (covid-19) has being reported. if you have also had contact with someone with travel history to any of such places in recent time. , if you notice the symptoms of the covid-19, do not panic. importantly, do not go to the hospital immediately, just make a call through directly to centre for disease control (ncdc) on their toll free number: free number:080097000010 whatsapp:+2347087110839iamnaija fight2finish yakinkawardacovid_19 jcinigeria covid19pandemic besafe follow us on all social media for daily updates.",6
0,"and have been implicated in gastroenteritis in infants. a novel coronavirus was identified as the cause of a worldwide outbreak of a severe acute respiratory syndrome (sars) in . this outbreak caused by the virus is believed to have originated in guangdong south china.it predominantly affected mainly china, hong kong, singapore, and taiwan. subsequently, this outbreak spread to neighboring countries in asia, canada, and the united states. in humans, several coronaviruses are known to cause respiratory infections rangingfrom the common cold to more severe diseases such as middle east respiratory syndrome (mers) and severe acute respiratory syndrome (sars). the most recently discovered coronavirus causes coronavirus disease covid-19.what is covid-19? covid-19 is the infectious disease caused by the most recently discovered coronavirus. this new virus and disease were unknown before the outbreak began in wuhan, china, in december what are the symptoms of covid-19? the most common symptoms of covid-19 are fever, tiredness, and dry cough. some patients may have aches and pains, nasal congestion, runny nose, sore throat or diarrhea. these symptoms are usually mild and begin gradually.some people become infected but dont develop any symptoms and don't feel unwell. most people (about %) recover from the disease without needing special treatment. around out of every people who gets covid-19 becomes seriously ill and develops difficulty breathing.how does covid-19 spread? people can catch covid-19 from others who have the virus. the disease can spread from person to person through small droplets from the nose or mouth which are spread when a person with covid-19 coughs or exhales these droplets land on objectssurfaces around the person. other people then catch covid-19 by touching these objects or surfaces, then touching their eyes, nose or mouth.people can also catch covid-19 if they breathe in droplets from a person with covid-19 who coughs out or exhales droplets. this is why it is important to stay more than meter (3 feet) away from a person who is sick.world health organisation is assessing ongoing research on the ways covid-19 is spread.",0
0,"this cartoon is the perfect tribute to nathan cirillo ottawashooting ... "": this cartoon is the perfect tribute to nathan cirillo ottawashooting is perfect tribute tonathancirillo ottawashooting ontario rt",159
0,"g mobile networks do not spread covid-19 who if theres a conspiracy and if covid is a business who will be part of it. we know g can't birth viruses, but it's detrimental to human health. in a nutshell,""the radiation from g kills""",17
0,". this new virus and disease were unknown before the outbreak began in wuhan, china, in december . the most common symptoms of covid-19 are fever, tiredness, and dry cough. some patients may have aches and pains, nasal congestion, runny nose, sore throat or diarrhea. these symptoms are usually mild and begin gradually.4. some people become infected but dont develop any symptoms and don't feel unwell. most people (about %) recover from the disease without needing special treatment. around out of every people who gets covid-19 becomes seriously ill and develops difficulty breathing.8. people can also catch covid-19 if they breathe in droplets from a person with covid-19 who coughs out or exhales droplets. this is why it is important to stay more than meter (3 feet) away from a person who is sick.9. can the virus that causes covid-19 be transmitted through the air? studies to date suggest that the virus that causes covid-19 is mainly transmitted through contact with respiratory droplets rather than through the air. see previous answer on how does covid-19 spread?10. can covid-19 be caught from a person who has no symptoms? the main way the disease spreads is through respiratory droplets expelled by someone who is coughing. the risk of catching covid-19 from someone with no symptoms at all is very low.11. however, many people with covid-19 experience only mild symptoms. this is particularly true at the early stages of the disease. it is therefore possible to catch covid-19 from someone who has, for example, just a mild cough and does not feel ill.12. what can i do to protect myself and prevent the spread of disease? protection measures for everyone! stay aware of the latest information on the covid-19 outbreak, available on the who website and through your national and local public health authority.13. many countries around the world have seen cases of covid-19 and several have seen outbreaks. authorities in china and some other countries have succeeded in slowing or stopping their outbreaks.13.(a) however, the situation is unpredictable so check regularly for the latest news. you can reduce your chances of being infected or spreading covid-19 by taking some simple precautions:13.(b) regularly and thoroughly clean your hands with an alcohol-based hand rub or wash them with soap and water. why? washing your hands with soap and water or using alcohol-based hand rub kills viruses that may be on your hands.13. (c) maintain at least metre (3 feet) distance between yourself and anyone who is coughing or sneezing. why? when someone coughs or sneezes they spray small liquid droplets from their nose or mouth which may contain virus.13. (c)... if you are too close, you can breathe in the droplets, including the covid-19 virus if the person coughing has the disease.",0
0,"soldier shot at national war memorial in ottawa cdnpoli hwgunfire inside canadian parliament; soldier shot at national war memorial in ottawa cdnpoli soldier shot at national war memorial in ottawa cdnpoli hw time to get snipers out on the roofs. take him out, no talking!!!our thoughts to all those in ottawa : soldier shot at national war memorial in ottawa cdnpoli hw",108
1,"non-essential services shutdown? can someone explain to me how is essential while is not? my bud agrees: only % of the usg is actually shut down. but michelle obama's ""let's move"" site is up and running. almost other no fed site up. neither has been updated since the shutdown. one just has a splash page letting us know. shutdown shouldn't happen, though.. this well of course... this is part of the smoke and mirrors. what can we shut down that will piss off the most people? confused fueleconomy clearly states ""may not be updated"" in green text for same reason, though nd url went a little more extreme yeah, pull the heart strings, wipe tears, and ask for votes. throw all the bums out!!!! pissed off and mad about it. probably fuel economy site has a different funding source. car companies, perhaps? or why michelle obamas ""let's move"" food nanny website is still up? it probably depends on how the website maint contracts were set-up and where they're feds or contractors running them. (?) a missing child alert system sounds pretty fucking essential to me. oil trumps life one has to do with money the other just has to human life. we all know what rules politics nowadays. it comes from the spitehousemt"": non-essential shutdown? can someone explain to me how is essential while isnt? i have the same question about camp david staying open. excellent question! waronchildren seems priorities are really fucked up in dc. it all comes down to when funding was awarded. if the contract to run a site is already paid, it will keep running. not to mention why it was essential for the military academies to play their football games... i suppose we should simply let you decide what's essential and what's not? fuck you, dude. my website costs more or takes more time to shut down rather than just let it stay up!because websites dont just run on their own. someone has to be back behind the curtain or it just shuts off right? they do have bandwidth &amp; electricity costs. plus many gov sites run on aws cloud at hourly rates.",137
0,"the coronavirus outbreak answers to your most common questions: updated march , what is a coronavirus? it is a novel virus named for the crownlike spikes that protrude from its surface. the coronavirus can infect both animals and people and canand people and can cause a range of respiratory illnesses from the common cold to lung lesions and pneumonia. how contagious is the virus? it seems to spread very easily from person to person, especially in homes, hospitals and other confined spaces.the pathogen can travel through the air, enveloped in tiny respiratory droplets that are produced when a sick person breathes, talks, coughs or sneezes.where has the virus spread? the virus, which originated in wuhan, china, has sickened more than inat least countries and more than have died. the spread has slowed in china, but is picking up speed in europe and the united states. what symptoms should i look out for? symptoms, which can take between two to days to appear, include fever, coughand difficulty breathing or shortness of breath. milder cases may resemble the flu or a bad cold, but people may be able to pass on the virus even before they develop symptoms. how do i keep myself and others safe? washing your hands frequently is the mostthe most important thing you can do, along with staying at home when youre sick and avoiding touching your face. how can i prepare for a possible outbreak? keep a -day supply of essential medicines. get a flu shot. have essential household items on hand.have a support system in place for elderly family members. what if im traveling? the c.d.c. has advised against all non-essential travel to south korea, china, italy and iran. and the agency has warned older and at-risk travelers to avoid japan.how long will it take to develop a treatment or vaccine? several drugs are being tested, and some initial findings are expected soon. a vaccine to stop the spread is still at least a year away.",0
0,"'fast and furious' cast mourns paul walker's death rip!! it's devastating, gudnite bro!rip : 'fast and furious' cast mourns paul walker's death convo avec tyrese (aka roman pearce) ouf rt: 'fast and furious' cast mourns paul walker's death : 'fast and furious' cast mourns paul walker's death rippaulwalker paulwalker sadness the moment i heard my thought was *here happy moment, gone the next moment.godspeedpaul great actor. in peace......so sad. rt : 'fast and furious' cast mourns paul walker's death r_i_p i'w miss him i m so sad about that",118
1,"iphone owners claim it's bending in their pockets : iphone owners claim it's bending in their pockets : iphone owners claim it's bending in their pockets it's not just your iphone crapple all types of ""wrongs"" in this article: iphone owners claim it's bending in their pockets shit : iphone owners claim it's bending in their pockets cargo pants comeback! is your iphone plus bending in your pocket, or are you just happy to see me? - everyonecause sitting on your phone is the smart thing to do.. rt : iphone owners claim it's bending in their pockets : iphone owners claim it's bending in their pockets can't be - i heard apple is perfect - just ask their passionate followers that's brilliant. it fits my bumsbendable gbese? : iphone owners claim it's bending in their pockets buy bigger pants : iphone owners claim it's bending in their pockets hilarious !!! no fix for that one i bet: iphone owners claim it's bending in their pockets oh really ? is it made from caramel?: iphone owners claim it's bending in their pockets cuidado miniiii!tight ass pants. rt : iphone owners claim it's bending in their pockets : iphone owners claim it's bending in their pockets &amp; .... !!!: iphone6 owners claim it's bending in their pockets apple i wanted to buy one tomorrow? ah never mind : iphone owners claim it's bending in their pockets real life .., no claimoh dear apple... : iphone owners claim it's bending in their pockets ! it bends too! : iphone owners claim it's bending in their pockets : iphone owners claim it's bending in their pockets might just replace my battery...call it a dayoh snap rt iphone owners claim it's bending in their pockets : iphone owners claim it's bending in their pockets iphone6 beat with the world's first flexible phone!i would suggest looser pants : iphone owners claim it's bending in their pockets : : iphone owners claim it's bending in their pockets might just replace my battery... they pants just tight af the iphone is saying ""get bent""!!ta-da-da-daaan lol ruhroh : iphone owners claim it's bending in their pockets oh shit, a flexible screen... ahead of the curve! lol usually objects of that size in your pants are bound to have a little bend to 'em. justsayin junk, just high priced junk....for self- important people...: iphone owners claim it's bending in their pockets : iphone owners claim it's bending in their pockets it's not bending. it's just ""flexing."" : iphone owners claim it's bending in their pockets this is crazy uh oh... bendgate : iphone owners claim it's bending in their pockets : iphone owners claim it's bending in their pockets actually dying. however brad pitt was seen wearing cargo pants last week so maybe there's hope ya know: iphone owners claim it's bending in their pockets let's focus on the battery and wifi problems first.: iphone owners claim it's bending in their pockets : iphone owners claim it's bending in their pockets i know just the one!",234
0,"plagiarism is the new virus, what is covid-19? covid got competition now at least turnitin is a cure for this virus",2
1,"misconceptions .) covid-19 is just like the flu/another strain of the flu. .) covid-19 is not as infectious nor as deadly as the seasonal flu. .) younger individuals should not be worried about the virus.of greater concern to younger individuals, and in fact everyone should be the expected reemergence of covid-19 in this coming fall. (4) the reemergence of infectious diseases in the fall typically is accompanied by mutations to the infectious agent enabling it to infectall individuals, young and old and typically more virulent as well.(5) which brings me to point 4. .) the actions mandated by public health officials, schools, and businesses worldwide are by no accounts an overreaction.the prevention of the spread of disease not only helps our health professionals, hospitals, and public health organizations treat individuals, but also decreases risk of mutations in covid-19 which would be responsible for a reemergence of covid-19 in the fall able to severelyaffect all individuals as the more covid-19 is able to replicate in a host the more likely a beneficial mutation (from perspective of the virus) is to arise. (6) the stopping of the spread of covid-19 now is crucial to preventing the spread later, and for protecting the elderly,immunocompromised, and those with pre-existing conditions. it should also be noted that not extending the course of the covid-19 virus in the population disproportionately affects those of lower socioeconomic statuses and those who are more likely to return to their workplace asa result of financial need leading to increased spread. (7,8) i would never make a claim to be an expert on this topic, and i applaud and look up to those who have spent their lives conducting research on infectious diseases.i am, however, passionate about this particular area of science and passionate about education and educating the general public about infectious diseases. i highly encourage everyone of you to do your research, educate yourself on how you can best help yourself, your family,and your community. the efforts to stop the spread of this disease begin on the individual level and are part of a global effort. the actions of individuals today will have resounding impacts in months and years to come.i urge you to be safe and think of others in addition to yourself. references ) ) ) ) )) ) )",0
0,what are the symptoms of covid-19? is covid-19 airborne? here are the answers to your biggest questions about the coronavirus pandemic i think coronavirus is airborne doesnt load properly. please fix. coronavirus...206k deaths as of today for comparison .... initially it's exhaled water droplets which can be inhaled or by transferance from surfaces.the virus can survive on anything except copper and live up to three days. that's flu deaths without lockdowns.. without lockdown covid deaths would be at least a million by now.. and that's only few months.. st pic looks like a wojack check out my gig on fiverr: do amazon product listing image and photo editing,146
0,. covid-19 virus can be transmitted in areas with hot and humid climates . drinking alcohol does not protect you against covid-19 and can be dangerous . being able to hold your breath for seconds or more without coughing or feeling discomfort does not mean you are free from the coronavirus disease (covid-19) or any other lung disease. . you can recover from the coronavirus disease (covid-19). catching the new coronavirus does not mean you will have it for life. . exposing yourself to the sun or to temperatures higher than c degrees does not prevent the coronavirus disease (covid-19) . g mobile networks do not spread covid-19,0
0,"cold weather and snow cannot kill the new coronavirus. there is no reason to believe that cold weather can kill the new coronavirus or other diseases. the normal human body temperature remains around c to c, regardless of the external temperature or weather.by doing this you eliminate viruses that may be on your hands and avoid infection that could occur by then touching your eyes, mouth, and nose. new coronavirus is a respiratory virus which spreads primarily through droplets generated when an infected person coughs or sneezes, or through droplets of saliva or discharge from the nose.to protect yourself, clean your hands frequently with an alcohol-based hand rub or wash them with soap and water. also, avoid close contact with anyone who is coughing and sneezing. hand dryers effective in killing the new coronavirus? no. hand dryers are not effective in killing the -ncov. to protect yourself against the new coronavirus, you should frequently clean your hands with an alcohol-based hand rub or wash them with soap and water.once your hands are cleaned, you should dry them thoroughly by using paper towels or a warm air dryer. an ultraviolet disinfection lamp kill the new coronavirus? uv lamps should not be used to sterilize hands or other areas of skin as uv radiation can cause skin irritation. effective are thermal scanners in detecting people infected with the new coronavirus? thermal scanners are effective in detecting people who have developed a fever (i.e. have a higher than normal body temperature) because of infection with the new coronavirus.however, they cannot detect people who are infected but are not yet sick with fever. this is because it takes between and days before people who are infected become sick and develop a fever. spraying alcohol or chlorine all over your body kill the new coronavirus? no. spraying alcohol or chlorine all over your body will not kill viruses that have already entered your body.spraying such substances can be harmful to clothes or mucous membranes (i.e. eyes, mouth). be aware that both alcohol and chlorine can be useful to disinfect surfaces, but they need to be used under appropriate recommendations. vaccines against pneumonia protect you against the new coronavirus? no. vaccines against pneumonia, such as pneumococcal vaccine and haemophilus influenza type b (hib) vaccine, do not provide protection against the new coronavirus.the virus is so new and different that it needs its own vaccine. researchers are trying to develop a vaccine against -ncov, and who is supporting their efforts.although these vaccines are not effective against -ncov, vaccination against respiratory illnesses is highly recommended to protect your health. regularly rinsing your nose with saline help prevent infection with the new coronavirus? no. there is no evidence that regularly rinsing the nose with saline has protected people from infection with the new coronavirus.there is some limited evidence that regularly rinsing nose with saline can help people recover more quickly from the common cold. however, regularly rinsing the nose has not been shown to prevent respiratory infections. eating garlic help prevent infection with the new coronavirus? garlic is a healthy food that may have some antimicrobial properties. however, there is no evidence from the current outbreak that eating garlic has protected people from the new coronavirus. the new coronavirus affect older people, or are younger people also susceptible? people of all ages can be infected by the new coronavirus (2019-ncov).older people, and people with pre-existing medical conditions (such as asthma, diabetes, heart disease) appear to be more vulnerable to becoming severely ill with the virus.who advises people of all ages to take steps to protect themselves from the virus, for example by following good hand hygiene and good respiratory hygiene. antibiotics effective in preventing and treating the new coronavirus? no, antibiotics do not work against viruses, only bacteria. the new coronavirus (2019-ncov) is a virus and, therefore, antibiotics should not be used as a means of prevention or treatment.however, if you are hospitalized for the -ncov, you may receive antibiotics because bacterial co-infection is possible. there any specific medicines to prevent or treat the new coronavirus? to date, there is no specific medicine recommended to prevent or treat the new coronavirus (2019-ncov).however, those infected with the virus should receive appropriate care to relieve and treat symptoms, and those with severe illness should receive optimized supportive care.some specific treatments are under investigation, and will be tested through clinical trials. who is helping to accelerate research and development efforts with a range or partners. pls don't panic people with fake news because it's not real all facts are in these threads",0
1,saying covid-19 is just like the flu isamassiveunderstatement i'm so sick every winter of having to,0
0,editorial: what is a coronavirus? how dangerous is it? what should you do? here's a look at facts vs. falsehoods when it comes to covid-19. subscribe here:,0
0,do vaccines against pneumonia protect you against the new coronavirus? no. here are myth-busters on the coronavirus. get your facts right: 2019ncov nyc news,16
0,"woah, nature. , nature. via gatchaman birdstyle intelligent number one awesome! rt - : woah, nature. que linda foto",152
0,"update: uk prime minister david cameron describes apparent beheading of david haines as 'an act of pure evil' uk pm cameron: ""rescue of ashyaking is an act of pure evilsocialists will do everything in our power to hunt down these parents!"" then prime minister do something about it"" and yet, those brit p*****s are to chicken s**t to fly over syria just nuke isis already. nukeisis can't you guys cool it with the number of commercials?? kerry can't get britain to help? there maybe this will help. they want blood! let's give to them! pass the damn ammunition! well you know if he considered it an act of war he would have to do something. better to call it evil and sit on his butt. im sure he's not playing golf after that statement please stop using the term execution for these beheadings. this is purely murder. execution denotes an action carried out by law. we need a ronald reagan who would have already addressed these evil people! call it evil and have another round of meetings and speeches instead of actually doing something about it. start dropping nukes. maybe this convinces the uk to join the coalition of forces to destroy isis what is prime minister david cameron gonna do now? wait for a coalition! we need another ronald reagan. we need a president that understands his most important job is to be a commander and chief! so do something about it mr. pm! camron changes plans. at downing st. now. what... he doesn't want to go golfing?? that's a guy we need here! now more than ever, a nd coming of m. thatcher would be appreciated. sadly, leaders like her no longer exist. isis wants war then lets give them war cut supplies and funding evil is not pure it was evil ! notice how the priminister of england didn't run off to play golf or fundraising opportunities when one of their people gets killed end all islamic countries immigration,work&amptudent visas i wouldn't be surprised if uk runs point to take these killislamofascists out tipofthespear it's a cult-religion that can be beaten with bacon for heaven's sake! proudinfidel showerthemwithbacon still do not get this folks? no one want to follow anyone who ""leads from behind"" would you, i would not. they know obama lies how much more, what will it take, for our leaders to just end this? political bs aside, the time is now! isis islamicstate isil cavemen savages isis is pushing to the limit, not even obama can contain the peoples wrath. now the british are awakening. the voiceless majority outside of these radicals that is islam are now complicit in their brothers crimes against man. isis must surely know this will consolidate the uk resolve to fight it - is it dillusional about a victory over the us and uk? no longer war weary isis weary. pure evil so do something! enough talk. one innocent britain beheaded.pm has a cobra meeting. americans beheaded and our cic goes golfing. i'm packing and moving to uk. go back to regular programming. i want to see huckabee.know beheading. break in when new news. other wise keep with regular program : uk prime minister david cameron describes apparent beheading of david haines as 'an act of pure evil' yet he still sits back and watches it happenmt : update: uk prime minister cameron describes apparent beheading of david haines as 'an act of pure evil' yeah but did he go golfing afterwards? brit pys? why you think isis are in iraq? because your dumb ass bush invaded iraq and our dumb ass blair followed and he still hasn't gone to play golf? why can't we have a leader like that? isis chops off another head time for fuel air bombs ok enough with the name calling. don't all of our fearless leaders think it 'a time for some sticks and stones ? ""an act of pure evil"":. maybe they should do something about it then.. something else than waiting! there has to be a strong coalition of countries helping over here! not to hid their heads in the sand! they could be next! maybe britain will think about joining the air campaign nowwakeupuk yeah.. and muslims are high fiving each other all over brittan. where's the soccer mobs.. pissed off enough yet to push into sea ok, did you not say same about germany? you stood up against them! why not now? talk is cheap. don't let this scum back into the uk. take action dave. there are no ""golf carts"" in the area here it is an oxymoron to use pure and evil in same sentence. may i suggest sheer evil. isis video. true its evil but so were the gaza killings. isis though shuld be eliminated coz they r the worst kind of scum on earth.",241
